run_id,suite,method,image,mask,seed,K,sparsity,n_train,dict_iters,als_iters,crown_T,K_s,mask_mode,missing_frac_target,square_size,scratch_count,scratch_thickness,status,full_psnr,full_ssim,full_mse,full_mae,hole_psnr,hole_mse,hole_mae,boundary_mae,missing_frac_actual,runtime_sec,train_rmse_final,observed_max_abs_err,train_rmse_initial,train_rmse_L3_final,train_rmse_L2_final,train_rmse_L1_final,crown_iters_completed,avg_outer_time_sec,error
paper__biharmonic__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,biharmonic,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,41.587006545730496,0.9935639676447003,6.939039272133345e-05,0.0017545887340193246,31.462237786789636,0.0007141282627803561,0.018057275011414957,0.0017870932374843102,0.09716796875,0.008239984512329102,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,zero_ksvd,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,18.002922785856533,0.4399366252388041,0.015838269240215946,0.03806262780339234,7.87815402691567,0.16299887137669478,0.3917199082479775,0.03876775419189234,0.09716796875,22.520357847213745,0.04066726734345854,0.0,0.06962468580044197,,,,,,
paper__masked_ksvd__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,masked_ksvd,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,48.36197161489756,0.9990227070231772,1.4581521364694532e-05,0.0006749856897661189,38.2372028559567,0.00015006510429595174,0.006946586395180963,0.0006874900871023308,0.09716796875,22.637725830078125,0.010297874811810732,0.0,0.015142696467571335,,,,,,
paper__multiscale_ksvd__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,multiscale_ksvd,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,39.834415502658814,0.9914677585012531,0.0001038863408951716,0.0021022781963680017,29.709646743717954,0.0010691418399663892,0.021635506262118933,0.002141223795181732,0.09716796875,38.99911618232727,0.010297874811810732,0.0,,0.008216640102479772,0.010857286802260344,0.010297874811810732,,,
paper__crown_full__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_full,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.37015520482335,0.995798109683616,4.602401255796519e-05,0.0014163407129388099,33.24538644588248,0.00047365415939051614,0.014576209950244636,0.0014425790277750503,0.09716796875,75.08739995956421,0.010297874811810732,0.0,0.015142696467571335,,,,5,11.121645307540893,
paper__crown_no_nonlocal__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_no_nonlocal,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.36626052937956,0.9957934055487474,4.606530458365454e-05,0.0014183717553124101,33.2414917704387,0.00047407911450916834,0.014597112336079477,0.001444647696073513,0.09716796875,37.22122597694397,0.010297874811810732,0.0,0.015142696467571335,,,,5,3.5526906967163088,
paper__crown_sparse_only__brick__random_p10__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_sparse_only,brick,random_p10,42,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,48.29603688033175,0.9990039358659295,1.4804587527733976e-05,0.0006843598207231477,38.17126812139089,0.0001523607801849205,0.007043059863522646,0.0006970378778271821,0.09716796875,75.1945128440857,0.010297874811810732,0.0,0.015142696467571335,,,,5,11.175035190582275,
paper__biharmonic__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,biharmonic,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,40.7824944632221,0.9925466171451512,8.351232095773799e-05,0.0019443626947894949,30.9834679053916,0.0007973577311023187,0.0185643580369645,0.001976451072802524,0.104736328125,0.004334926605224609,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,zero_ksvd,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,17.873093537278038,0.42753437135727657,0.016318891175004194,0.04001577323762658,8.074066979447537,0.15580927331659017,0.3820620214016748,0.04067616507788025,0.104736328125,22.565065145492554,0.0443883342754913,0.0,0.07234538637405971,,,,,,
paper__masked_ksvd__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,masked_ksvd,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,48.94413017724288,0.9990506074072459,1.2752254817453568e-05,0.0006756778233591118,39.14510361941238,0.00012175579424776183,0.006451226956827325,0.0006868287292415739,0.104736328125,22.61734390258789,0.010044248663172993,0.0,0.015261657605162458,,,,,,
paper__multiscale_ksvd__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,multiscale_ksvd,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,39.48848304317441,0.9903703386373666,0.00011249978583436376,0.0022258041846236467,29.68945648534391,0.0010741238293183078,0.021251501026150255,0.002262537272668683,0.104736328125,37.66513514518738,0.010044248663172993,0.0,,0.007262239754051046,0.010896187217457397,0.010044248663172993,,,
paper__crown_full__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_full,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.02015365910659,0.9954983059879041,4.9886683658216074e-05,0.001499637161160972,33.22112710127608,0.0004763073572588649,0.014318214014254874,0.0015243861055007672,0.104736328125,74.99523901939392,0.010044248663172993,0.0,0.015261657605162458,,,,5,11.129530811309815,
paper__crown_no_nonlocal__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_no_nonlocal,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.0407334469895,0.9955216744294817,4.9650846282339976e-05,0.0015005956502240276,33.241706889159005,0.00047405563256984744,0.014327365462278826,0.0015253604127851137,0.104736328125,37.326908826828,0.010044248663172993,0.0,0.015261657605162458,,,,5,3.5216042041778564,
paper__crown_sparse_only__brick__random_p10__seed69__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_sparse_only,brick,random_p10,69,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,48.919981312570684,0.9990269914679104,1.2823361004589594e-05,0.0006831921063489006,39.12095475474018,0.0001224347008736573,0.006522971719359201,0.0006944670226095291,0.104736328125,76.47798800468445,0.010044248663172993,0.0,0.015261657605162458,,,,5,11.359593105316161,
paper__biharmonic__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,biharmonic,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,41.17578954872313,0.9927906946832343,7.628181979682869e-05,0.0018697591260921004,31.148134161297584,0.0007676912380535879,0.018817035332858095,0.001904752441826337,0.099365234375,0.0036852359771728516,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,zero_ksvd,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,17.908867883695912,0.42568415338362187,0.01618501892778795,0.03887208919704855,7.8812124962703685,0.1628841216909569,0.3912041212558006,0.039599596431290386,0.099365234375,22.921509981155396,0.042476236636503344,0.0,0.07158887593308606,,,,,,
paper__masked_ksvd__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,masked_ksvd,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,46.6407908494823,0.9980392693877389,2.1673094022248924e-05,0.0009567164960571667,36.61313546205675,0.00021811546219934052,0.009628281984889816,0.0009746218411615133,0.099365234375,22.52445101737976,0.011210614512359201,0.0,0.01507690089405808,,,,,,
paper__multiscale_ksvd__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,multiscale_ksvd,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,39.740883604680334,0.9915826006655286,0.00010614795692515369,0.0021304290829497873,29.71322821725479,0.00106826051981678,0.021440387036271078,0.0021703009447894867,0.099365234375,37.42885661125183,0.011210614512359201,0.0,,0.007362178049749353,0.011051117333894703,0.011210614512359201,,,
paper__crown_full__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_full,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.684178299265795,0.995929681075555,4.281364168689063e-05,0.0013982693114491128,33.656522911840256,0.00043087144066217205,0.014072017443969447,0.0014244385002040827,0.099365234375,79.70197010040283,0.011210614512359201,0.0,0.01507690089405808,,,,5,11.97088556289673,
paper__crown_no_nonlocal__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_no_nonlocal,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,43.733747677936606,0.9959865026155226,4.232775475077435e-05,0.0013939752726760128,33.70609229051106,0.0004259815318407168,0.014028802744179236,0.00142006409671851,0.099365234375,37.20970702171326,0.011210614512359201,0.0,0.01507690089405808,,,,5,3.498118209838867,
paper__crown_sparse_only__brick__random_p10__seed123__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_sparse_only,brick,random_p10,123,256,8,3000,25,10,5,10,random,0.1,20,3,4,completed,49.011685413741766,0.9990184075269853,1.2555426170828002e-05,0.0006905839003949603,38.984030026316226,0.00012635632824499138,0.0069499549287905605,0.0007035084638482267,0.099365234375,79.83254408836365,0.011210614512359201,0.0,0.01507690089405808,,,,5,11.993387222290039,
paper__biharmonic__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,biharmonic,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,33.81081449606765,0.9633037710502043,0.0004158326159979472,0.007336583499761619,28.610912012681112,0.0013769202870877863,0.024293165735669843,0.007336583499761619,0.302001953125,0.024178743362426758,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,zero_ksvd,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,16.34594297636299,0.34021230071052316,0.02319560488589127,0.08001861326854903,11.146040492976457,0.07680614196654052,0.2649605820112989,0.08001861326854903,0.302001953125,23.354923009872437,0.12003756189760952,0.0,0.11972127139596915,,,,,,
paper__masked_ksvd__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,masked_ksvd,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,35.77073547943692,0.9785005701325185,0.00026480516520288545,0.0035419267690152308,30.57083299605039,0.0008768326246329982,0.011728158484952617,0.0035419267690152308,0.302001953125,23.006684064865112,0.011744964049473406,0.0,0.017361055274518006,,,,,,
paper__multiscale_ksvd__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,multiscale_ksvd,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,31.62490466439854,0.9444923254288481,0.0006878750122607924,0.009467556488629354,26.425002181012005,0.002277717097995316,0.03134932205127392,0.009467556488629354,0.302001953125,38.005287170410156,0.011744964049473406,0.0,,0.004363291553835974,0.014879347041405979,0.011744964049473406,,,
paper__crown_full__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_full,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,36.22292879053548,0.9790548171122873,0.00023862015361153987,0.005507358433890577,31.023026307148946,0.0007901278489837246,0.018236168266140503,0.005507358433890577,0.302001953125,77.64220976829529,0.011744964049473406,0.0,0.017361055274518006,,,,5,11.584667682647705,
paper__crown_no_nonlocal__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_no_nonlocal,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,36.19893402784959,0.9787080327805862,0.00023994217828054916,0.005513532953280733,30.99903154446305,0.0007945053858020446,0.018256613562358838,0.005513532953280733,0.302001953125,38.06751894950867,0.011744964049473406,0.0,0.017361055274518006,,,,5,3.5734667778015137,
paper__crown_sparse_only__brick__random_p30__seed42__K256__s8__nt3000__di25__als10__T5__Ks10,paper,crown_sparse_only,brick,random_p30,42,256,8,3000,25,10,5,10,random,0.3,20,3,4,completed,40.09524792695995,0.9925580054767202,9.783071042868976e-05,0.0028413761132195423,34.89534544357341,0.0003239406547420479,0.009408469328817497,0.0028413761132195423,0.302001953125,77.41196203231812,0.011744964049473406,0.0,0.017361055274518006,,,,5,11.564243459701538,
